squeue -u zuimran
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          18119240      GPUQ zc-20a5a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119239      GPUQ zc-8d174  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119238      GPUQ zc-25f16  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119237      GPUQ zc-58e11  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119236      GPUQ zc-5fc9b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119235      GPUQ zc-c7815  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119234      GPUQ zc-6df08  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119233      GPUQ zc-60ccc  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119232      GPUQ zc-0baa4  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119231      GPUQ zc-bef0b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119230      GPUQ zc-1356a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119229      GPUQ zc-981b8  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119228      GPUQ zc-5763d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119227      GPUQ zc-be8db  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119226      GPUQ zc-f1ff3  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119225      GPUQ zc-39aea  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119224      GPUQ zc-8d182  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119223      GPUQ zc-341be  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119222      GPUQ zc-9f6d0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119221      GPUQ zc-ee159  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119220      GPUQ zc-87e06  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119219      GPUQ zc-3bca7  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119218      GPUQ zc-1b901  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119217      GPUQ zc-76155  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119216      GPUQ zc-1bcc8  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119215      GPUQ zc-e336b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119214      GPUQ zc-45760  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119213      GPUQ zc-310a2  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119212      GPUQ zc-da7e4  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119211      GPUQ zc-40758  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119210      GPUQ zc-19e80  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119209      GPUQ zc-dce46  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119208      GPUQ zc-f7121  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119207      GPUQ zc-cf35f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119206      GPUQ zc-4302a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119205      GPUQ zc-b7972  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119204      GPUQ zc-61f20  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119203      GPUQ zc-f88b9  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119202      GPUQ zc-4b4c7  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119201      GPUQ zc-5b1b4  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119200      GPUQ zc-8dce6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119199      GPUQ zc-5e2ea  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119198      GPUQ zc-cf773  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119197      GPUQ zc-25876  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119196      GPUQ zc-418ff  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119195      GPUQ zc-ff7b1  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119194      GPUQ zc-0d49f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119193      GPUQ zc-be681  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119192      GPUQ zc-3026d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119191      GPUQ zc-16600  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119190      GPUQ zc-03cd6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119189      GPUQ zc-f3474  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119188      GPUQ zc-a3b02  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119187      GPUQ zc-73edd  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119186      GPUQ zc-9b29b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119185      GPUQ zc-9aab4  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119184      GPUQ zc-5872d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119183      GPUQ zc-e3f3d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119182      GPUQ zc-aa4dd  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119181      GPUQ zc-e49b5  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119180      GPUQ zc-3ea92  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119179      GPUQ zc-8ffb3  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119178      GPUQ zc-5eec0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119177      GPUQ zc-e596f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119176      GPUQ zc-8654d  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119175      GPUQ zc-8c283  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119174      GPUQ zc-94e9b  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119173      GPUQ zc-e4bc0  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119172      GPUQ zc-66798  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119171      GPUQ zc-7f695  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119170      GPUQ zc-7b5ff  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119169      GPUQ zc-8ec6e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119168      GPUQ zc-4f6d6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119167      GPUQ zc-d844f  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119166      GPUQ zc-c3e42  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119165      GPUQ zc-3a250  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119164      GPUQ zc-f5109  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119163      GPUQ zc-5a312  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119162      GPUQ zc-89481  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119161      GPUQ zc-e5fcb  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119160      GPUQ zc-1c1af  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119159      GPUQ zc-9603a  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119158      GPUQ zc-886f1  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119157      GPUQ zc-f4b48  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119156      GPUQ zc-74a0e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119155      GPUQ zc-94871  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119154      GPUQ zc-04aa6  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119153      GPUQ zc-3537e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119152      GPUQ zc-f2a22  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119151      GPUQ zc-3e41e  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119150      GPUQ zc-2b548  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119149      GPUQ zc-08f29  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119148      GPUQ zc-b54d8  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
          18119147      GPUQ zc-bcf90  zuimran PD       0:00      1 (QOSMaxGRESPerUser)
