             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          18067291      GPUQ b24c6435    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067292      GPUQ efa3ee11    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067293      GPUQ 80fee005    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067294      GPUQ c492efd6    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067295      GPUQ c6a4ca23    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067296      GPUQ 23e996c2    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067297      GPUQ 4340e544    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067298      GPUQ 9b5e75d7    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067299      GPUQ 91aaf0d5    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067300      GPUQ 4e6fc1e6    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067301      GPUQ ace5fb0b    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067302      GPUQ 4908d17a    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067303      GPUQ 034f8b06    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067304      GPUQ 390bbd37    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067305      GPUQ b1e1d8e6    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067306      GPUQ 33968274    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067307      GPUQ 86832cbe    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067308      GPUQ e7c1d01f    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067309      GPUQ 04789590    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067310      GPUQ 8ed03eab    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067311      GPUQ 313c3928    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067312      GPUQ 994834f6    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067313      GPUQ 52c95665    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067314      GPUQ f149bb8b    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067315      GPUQ 836e7ba2    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067316      GPUQ 1661b1ea    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067317      GPUQ 39bd9106    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067318      GPUQ f7d528c2    maxts PD       0:00      1 (QOSMaxGRESPerUser)
          18067319      GPUQ 64348055    maxts PD       0:00      1 (QOSMaxGRESPerUser)
